Bact,Time,log10_thresh,TP,FP,FN,TN,Sensitivity,Specificity,PPV,NPV,Prevalence,Accuracy,F1,Jaccard,MCC,Youden_J,Product,Test
Geo 1,6 Hours,6.7,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Cream,AttuneDilut
Geo 1,6 Hours,6.800000000000001,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Cream,AttuneDilut
Geo 1,6 Hours,6.9,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Cream,AttuneDilut
Geo 1,6 Hours,7,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Cream,AttuneDilut
Geo 1,6 Hours,7.1000000000000005,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Cream,AttuneDilut
Geo 1,6 Hours,7.2,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Cream,AttuneDilut
Geo 1,6 Hours,7.3,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Cream,AttuneDilut
Geo 1,6 Hours,7.4,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Cream,AttuneDilut
Geo 1,6 Hours,7.5,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Cream,AttuneDilut
Geo 1,6 Hours,7.6000000000000005,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Cream,AttuneDilut
Geo 1,6 Hours,7.7,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Cream,AttuneDilut
Geo 1,12 Hours,3,5,1,0,0,1,0,0.8333333333333334,NA,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.8333333333333334,NA,0,Cream,AttuneDilut
Geo 1,12 Hours,3.1,5,1,0,0,1,0,0.8333333333333334,NA,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.8333333333333334,NA,0,Cream,AttuneDilut
Geo 1,12 Hours,3.2,5,1,0,0,1,0,0.8333333333333334,NA,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.8333333333333334,NA,0,Cream,AttuneDilut
Geo 1,12 Hours,3.3,5,1,0,0,1,0,0.8333333333333334,NA,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.8333333333333334,NA,0,Cream,AttuneDilut
