Product,Test,Method,above_floor,Time,bg_floor_log10,criterion_value,Range_log10,Range_units,n_in_intersect,n_above_floor,n_total,no_range,problematic,best_achieved,valid
UHT Milk,AttuneDilut,Best Accuracy,TRUE,24 Hours,5.35,1,5.40 – 6.90,2.5e+05 – 7.9e+06,8,8,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Best Accuracy,TRUE,48 Hours,5.35,0.9583,5.40,2.5e+05,8,8,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Youden J,FALSE,6 Hours,5.35,1,3.20 – 3.80,1.6e+03 – 6.3e+03,5,5,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Youden J,FALSE,12 Hours,5.35,0.9714,no range,—,4,7,8,NA,"Geo 4, AF 6, AF 7",NA,FALSE
UHT Milk,AttuneDilut,Youden J,FALSE,24 Hours,5.35,1,4.10 – 6.90,1.3e+04 – 7.9e+06,8,8,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Youden J,FALSE,48 Hours,5.35,1,3.70 – 5.30,5.0e+03 – 2.0e+05,7,7,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Sensitivity-first,FALSE,6 Hours,5.35,1,3.20 – 3.80,1.6e+03 – 6.3e+03,5,5,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Sensitivity-first,FALSE,12 Hours,5.35,1,no range,—,4,7,8,NA,"Geo 4, AF 6, AF 7",NA,FALSE
UHT Milk,AttuneDilut,Sensitivity-first,FALSE,24 Hours,5.35,1,4.10 – 6.90,1.3e+04 – 7.9e+06,8,8,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Sensitivity-first,FALSE,48 Hours,5.35,1,3.70 – 5.30,5.0e+03 – 2.0e+05,7,7,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Best Accuracy,FALSE,6 Hours,5.35,1,3.20 – 3.80,1.6e+03 – 6.3e+03,8,8,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Best Accuracy,FALSE,12 Hours,5.35,0.9792,4.00 – 5.30,1.0e+04 – 2.0e+05,8,8,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Best Accuracy,FALSE,24 Hours,5.35,1,4.10 – 6.90,1.3e+04 – 7.9e+06,8,8,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Best Accuracy,FALSE,48 Hours,5.35,1,3.80 – 5.30,6.3e+03 – 2.0e+05,8,8,8,NA,NA,NA,TRUE
Cream,Charm,Youden J,TRUE,6 Hours,0.79,0,0.80 – 3.10,6.3e+00 – 1.3e+03,6,6,8,NA,NA,NA,TRUE
Cream,Charm,Youden J,TRUE,12 Hours,0.79,0.1429,0.80,6.3e+00,7,7,8,NA,NA,NA,TRUE
Cream,Charm,Youden J,TRUE,24 Hours,0.79,0.2,0.90,7.9e+00,7,7,8,NA,NA,NA,TRUE
Cream,Charm,Youden J,TRUE,48 Hours,0.79,0.2562,0.80,6.3e+00,8,8,8,NA,NA,NA,TRUE
Cream,Charm,Sensitivity-first,TRUE,6 Hours,0.79,0,0.80 – 3.10,6.3e+00 – 1.3e+03,6,6,8,NA,NA,NA,TRUE
Cream,Charm,Sensitivity-first,TRUE,12 Hours,0.79,0.1429,0.80,6.3e+00,7,7,8,NA,NA,NA,TRUE
Cream,Charm,Sensitivity-first,TRUE,24 Hours,0.79,0.2,0.90,7.9e+00,7,7,8,NA,NA,NA,TRUE
Cream,Charm,Sensitivity-first,TRUE,48 Hours,0.79,0.2563,0.80,6.3e+00,8,8,8,NA,NA,NA,TRUE
Cream,Charm,Best Accuracy,TRUE,6 Hours,0.79,0.4167,0.80 – 3.10,6.3e+00 – 1.3e+03,8,8,8,NA,NA,NA,TRUE
Cream,Charm,Best Accuracy,TRUE,12 Hours,0.79,0.3958,0.80,6.3e+00,8,8,8,NA,NA,NA,TRUE
Cream,Charm,Best Accuracy,TRUE,24 Hours,0.79,0.4792,0.90,7.9e+00,8,8,8,NA,NA,NA,TRUE
Cream,Charm,Best Accuracy,TRUE,48 Hours,0.79,0.3958,0.80,6.3e+00,8,8,8,NA,NA,NA,TRUE
Cream,Charm,Youden J,FALSE,6 Hours,0.79,0.2667,no range,—,1,6,8,NA,"Geo 3, AF 5, AF 6, AF 7, AF 8",NA,FALSE
Cream,Charm,Youden J,FALSE,12 Hours,0.79,0.4,no range,—,2,7,8,NA,"Geo 1, Geo 2, Geo 3, AF 6, AF 8",NA,FALSE
Cream,Charm,Youden J,FALSE,24 Hours,0.79,0.5143,no range,—,2,7,8,NA,"Geo 2, Geo 3, AF 6, AF 7, AF 8",NA,FALSE
Cream,Charm,Youden J,FALSE,48 Hours,0.79,0.5625,no range,—,4,8,8,NA,"Geo 1, Geo 2, Geo 3, AF 8",NA,FALSE
Cream,Charm,Sensitivity-first,FALSE,6 Hours,0.79,1,0.00 – 0.30,1.0e+00 – 2.0e+00,6,6,8,NA,NA,NA,TRUE
Cream,Charm,Sensitivity-first,FALSE,12 Hours,0.79,0.8857,0.40,2.5e+00,7,7,8,NA,NA,NA,TRUE
Cream,Charm,Sensitivity-first,FALSE,24 Hours,0.79,0.9714,no range,—,5,7,8,NA,"Geo 1, Geo 2",NA,FALSE
Cream,Charm,Sensitivity-first,FALSE,48 Hours,0.79,0.925,no range,—,1,8,8,NA,"Geo 1, Geo 2, Geo 4, AF 5, AF 6, AF 7, AF 8",NA,FALSE
