Cream ,(In House Cream),,,,,
Bac,Reps,Time,Plate Raw,Charm Raw,Attune Raw,Attune with Dilution
AF 8,D,24 Hours,2620,5,29,29000
AF 8,E,24 Hours,3000,6,100,100000
Geo 1,Blank,24 Hours,0,2,1,1000
Geo 2,Blank,24 Hours,0,2,22,22000
Geo 3,Blank,24 Hours,0,7,32,32000
Geo 4,Blank,24 Hours,0,3,20,20000
AF 5,Blank,24 Hours,0,3,15,15000
AF 6,Blank,24 Hours,0,3,13,13000
AF 7,Blank,24 Hours,0,3,8,8000
AF 8,Blank,24 Hours,0,4,2,2000
Geo 1,A,48 Hours,3000,742,7636,7636000
Geo 1,B,48 Hours,3000,114,5831,5831000
Geo 1,C,48 Hours,3000,1001,8420,8420000
Geo 1,D,48 Hours,3000,39,184,184000
Geo 1,E,48 Hours,3000,3,51,51000
Geo 2,A,48 Hours,1500,3,18,18000
Geo 2,B,48 Hours,3000,69,3717,3717000
Geo 2,C,48 Hours,3000,69,3129,3129000
Geo 2,D,48 Hours,3000,7,490,490000
Geo 2,E,48 Hours,3000,425,4655,4655000
Geo 3,A,48 Hours,3000,3,130,130000
Geo 3,B,48 Hours,3000,218,9423,9423000
Geo 3,C,48 Hours,3000,1,119,119000
Geo 3,D,48 Hours,3000,3,116,116000
Geo 3,E,48 Hours,3000,1,139,139000
Geo 4,A,48 Hours,1000,3,41,41000
Geo 4,B,48 Hours,1000,4,29,29000
Geo 4,C,48 Hours,1000,50,5511,5511000
Geo 4,D,48 Hours,3000,3,51,51000
Geo 4,E,48 Hours,0,3,17,17000
AF 5,A,48 Hours,500,3,18,18000
AF 5,B,48 Hours,200,3,18,18000
AF 5,C,48 Hours,800,3,29,29000
AF 5,D,48 Hours,700,2,24,24000
AF 5,E,48 Hours,800,2,22,22000
AF 6,A,48 Hours,35200,4,42,42000
AF 6,B,48 Hours,7900,1,32,32000
AF 6,C,48 Hours,7200,2,41,41000
AF 6,D,48 Hours,30000,5,542,542000
AF 6,E,48 Hours,14100,2,45,45000
AF 7,A,48 Hours,30000,4,717,717000
AF 7,B,48 Hours,27000,2,56,56000
AF 7,C,48 Hours,30000,2,726,726000
AF 7,D,48 Hours,38000,2,85,85000
AF 7,E,48 Hours,42800,4,80,80000
AF 8,A,48 Hours,3000,3,65,65000
AF 8,B,48 Hours,3000,2,66,66000
AF 8,C,48 Hours,3000,4,51,51000
AF 8,D,48 Hours,3000,4,15,15000
AF 8,E,48 Hours,3000,4,48,48000
Geo 1,Blank,48 Hours,0,2,2,2000
Geo 2,Blank,48 Hours,0,2,27,27000
Geo 3,Blank,48 Hours,0,1,32,32000
Geo 4,Blank,48 Hours,0,2,12,12000
AF 5,Blank,48 Hours,0,3,17,17000
AF 6,Blank,48 Hours,0,2,15,15000
AF 7,Blank,48 Hours,0,2,20,20000
AF 8,Blank,48 Hours,0,3,14,14000
