,,Whipping Cream,,,,
Bac,Reps,Time,Plate Raw,Charm Raw,Attune Raw,Attune with Dilutions   x100 
AF 8,A,48 Hours,2900,3,54,5400
AF 8,B,48 Hours,30000,23,471,47100
AF 8,C,48 Hours,3000,5,28,2800
AF 8,D,48 Hours,5700,3,178,17800
AF 8,E,48 Hours,6800,5,9850,985000
Geo 1,Blank,48 Hours,0,5,0,0
Geo 2,Blank,48 Hours,0,3,0,0
Geo 3,Blank,48 Hours,0,2,3,300
Geo 4,Blank,48 Hours,0,3,0,0
AF 5,Blank,48 Hours,0,4,0,0
AF 6,Blank,48 Hours,0,3,0,0
AF 7,Blank,48 Hours,0,4,0,0
AF 8,Blank,48 Hours,0,3,0,0
Geo 1,A,72 hours,100000,6,4963,496300
Geo 1,B,72 hours,100000,13,146,14600
Geo 1,C,72 hours,100000,5,376,37600
Geo 1,D,72 hours,100000,4,567,56700
Geo 1,E,72 hours,100000,11,160,16000
Geo 2,A,72 hours,100000,3,172,17200
Geo 2,B,72 hours,100000,4,142,14200
Geo 2,C,72 hours,100000,4,144,14400
Geo 2,D,72 hours,100000,7,4,400
Geo 2,E,72 hours,100000,5,84,8400
Geo 3,A,72 hours,100000,6,24,2400
Geo 3,B,72 hours,100000,5,51,5100
Geo 3,C,72 hours,100000,5,482,48200
Geo 3,D,72 hours,100000,4,34,3400
Geo 3,E,72 hours,100000,3,23,2300
Geo 4,A,72 hours,100000,5,1557,155700
Geo 4,B,72 hours,100000,46,4849,484900
Geo 4,C,72 hours,100000,5,1535,153500
Geo 4,D,72 hours,1,2,0,0
Geo 4,E,72 hours,1,3,1,100
AF 5,A,72 hours,1600,4,14,1400
AF 5,B,72 hours,1400,29,31,3100
AF 5,C,72 hours,2500,30,18,1800
AF 5,D,72 hours,5600,40,122,12200
AF 5,E,72 hours,200,13,8,800
AF 6,A,72 hours,30000,827,1582,158200
AF 6,B,72 hours,9700,11,42,4200
AF 6,C,72 hours,30000,618,4375,437500
AF 6,D,72 hours,30000,93,8445,844500
AF 6,E,72 hours,30000,16,145,14500
AF 7,A,72 hours,18800,9,1026,102600
AF 7,B,72 hours,30000,15,746,74600
AF 7,C,72 hours,30000,27,1232,123200
AF 7,D,72 hours,30000,68,2422,242200
AF 7,E,72 hours,12400,8,2516,251600
AF 8,A,72 hours,4700,61,152,15200
AF 8,B,72 hours,30000,60,4986,498600
AF 8,C,72 hours,20300,142,364,36400
AF 8,D,72 hours,3900,160,157,15700
AF 8,E,72 hours,2500,33,72,7200
Geo 1,Blank,72 Hours,0,3,0,0
Geo 2,Blank,72 Hours,0,5,0,0
Geo 3,Blank,72 Hours,0,3,2,200
Geo 4,Blank,72 Hours,0,4,1,100
AF 5,Blank,72 Hours,0,9,1,100
AF 6,Blank,72 Hours,0,2,0,0
AF 7,Blank,72 Hours,0,3,0,0
AF 8,Blank,72 Hours,0,2,2,200
