Product,Test,Threshold_log10,Isolate,Spike_level,N,X_test,POD_test,CI_test_lo,CI_test_hi,X_ref,POD_ref,CI_ref_lo,CI_ref_hi,dPOD,dPOD_lo,dPOD_hi,sig
UHT Milk,Charm_adj,2.1760912590556813,Geobacillus,>10,5,5,1,0.48,1,5,1,0.48,1,0,-0.52,0.52,FALSE
UHT Milk,Charm_adj,2.1760912590556813,Geobacillus,0-10,15,8,0.53,0.27,0.79,8,0.53,0.27,0.79,0,-0.32,0.32,FALSE
UHT Milk,Charm_adj,2.1760912590556813,Geobacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
UHT Milk,Charm_adj,2.1760912590556813,Anoxybacillus,0-10,20,20,1,0.83,1,20,1,0.83,1,0,-0.16,0.16,FALSE
UHT Milk,Charm_adj,2.1760912590556813,Anoxybacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
Cream,Charm_adj,2.1760912590556813,Geobacillus,>10,5,0,0,0,0.52,5,1,0.48,1,-1,-1,-0.26,TRUE
Cream,Charm_adj,2.1760912590556813,Geobacillus,0-10,15,1,0.07,0,0.32,10,0.67,0.38,0.88,-0.6,-0.79,-0.26,TRUE
Cream,Charm_adj,2.1760912590556813,Geobacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
Cream,Charm_adj,2.1760912590556813,Anoxybacillus,0-10,20,0,0,0,0.17,17,0.85,0.62,0.97,-0.85,-0.95,-0.58,TRUE
Cream,Charm_adj,2.1760912590556813,Anoxybacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
Whipping Cream,Charm_adj,2.1760912590556813,Geobacillus,>10,5,4,0.8,0.28,0.99,5,1,0.48,1,-0.2,-0.72,0.36,FALSE
Whipping Cream,Charm_adj,2.1760912590556813,Geobacillus,0-10,15,4,0.27,0.08,0.55,11,0.73,0.45,0.92,-0.47,-0.69,-0.11,TRUE
Whipping Cream,Charm_adj,2.1760912590556813,Geobacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
Whipping Cream,Charm_adj,2.1760912590556813,Anoxybacillus,0-10,20,1,0.05,0,0.25,20,1,0.83,1,-0.95,-0.99,-0.7,TRUE
Whipping Cream,Charm_adj,2.1760912590556813,Anoxybacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
Med Beverage,Charm_adj,2.1760912590556813,Geobacillus,>10,5,5,1,0.48,1,5,1,0.48,1,0,-0.52,0.52,FALSE
Med Beverage,Charm_adj,2.1760912590556813,Geobacillus,0-10,15,13,0.87,0.6,0.98,14,0.93,0.68,1,-0.07,-0.32,0.18,FALSE
Med Beverage,Charm_adj,2.1760912590556813,Geobacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
Med Beverage,Charm_adj,2.1760912590556813,Anoxybacillus,0-10,20,10,0.5,0.27,0.73,20,1,0.83,1,-0.5,-0.7,-0.24,TRUE
Med Beverage,Charm_adj,2.1760912590556813,Anoxybacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
Chocolate,Charm_adj,2.1760912590556813,Geobacillus,>10,5,5,1,0.48,1,5,1,0.48,1,0,-0.52,0.52,FALSE
Chocolate,Charm_adj,2.1760912590556813,Geobacillus,0-10,15,15,1,0.78,1,15,1,0.78,1,0,-0.2,0.2,FALSE
Chocolate,Charm_adj,2.1760912590556813,Geobacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
Chocolate,Charm_adj,2.1760912590556813,Anoxybacillus,>10,10,10,1,0.69,1,10,1,0.69,1,0,-0.28,0.28,FALSE
Chocolate,Charm_adj,2.1760912590556813,Anoxybacillus,0-10,20,12,0.6,0.36,0.81,20,1,0.83,1,-0.4,-0.61,-0.16,TRUE
Chocolate,Charm_adj,2.1760912590556813,Anoxybacillus,=0,6,0,0,0,0.46,0,0,0,0.46,0,-0.39,0.39,FALSE
Chocolate,Charm_adj,2.1760912590556813,B. licheniformis,0-10,10,10,1,0.69,1,10,1,0.69,1,0,-0.28,0.28,FALSE
Chocolate,Charm_adj,2.1760912590556813,B. licheniformis,=0,2,0,0,0,0.84,0,0,0,0.84,0,-0.84,0.84,FALSE
