Product,Test,Time,log10_thresh,Sensitivity,Specificity,PPV,NPV,Prevalence,Accuracy,F1,Jaccard,MCC,Youden_J
Cream,Charm,12 Hours,1.8,0,1,NA,0.2917,0.7083,0.2917,NA,0,NA,0
Cream,Charm,12 Hours,1.9,0,1,NA,0.2917,0.7083,0.2917,NA,0,NA,0
Cream,Charm,12 Hours,2,0,1,NA,0.2917,0.7083,0.2917,NA,0,NA,0
Cream,Charm,12 Hours,2.1,0,1,NA,0.2917,0.7083,0.2917,NA,0,NA,0
Cream,Charm,12 Hours,2.2,0,1,NA,0.2917,0.7083,0.2917,NA,0,NA,0
Cream,Charm,12 Hours,2.3,0,1,NA,0.2917,0.7083,0.2917,NA,0,NA,0
Cream,Charm,12 Hours,2.4,0,1,NA,0.2917,0.7083,0.2917,NA,0,NA,0
Cream,Charm,12 Hours,2.5,0,1,NA,0.2917,0.7083,0.2917,NA,0,NA,0
Cream,Charm,12 Hours,2.6,0,1,NA,0.2917,0.7083,0.2917,NA,0,NA,0
Cream,Charm,12 Hours,2.7,0,1,NA,0.2917,0.7083,0.2917,NA,0,NA,0
Cream,Charm,12 Hours,2.8,0,1,NA,0.2917,0.7083,0.2917,NA,0,NA,0
Cream,Charm,12 Hours,2.9,0,1,NA,0.2917,0.7083,0.2917,NA,0,NA,0
Cream,Charm,12 Hours,3,0,1,NA,0.2917,0.7083,0.2917,NA,0,NA,0
Cream,Charm,12 Hours,3.1,0,1,NA,0.2917,0.7083,0.2917,NA,0,NA,0
Cream,Charm,24 Hours,0,0.9714,0,0.6625,0,0.6667,0.6458,0.8351,0.6458,-0.2,-0.0286
Cream,Charm,24 Hours,0.1,0.9714,0,0.6625,0,0.6667,0.6458,0.8351,0.6458,-0.2,-0.0286
Cream,Charm,24 Hours,0.2,0.9714,0,0.6625,0,0.6667,0.6458,0.8351,0.6458,-0.2,-0.0286
Cream,Charm,24 Hours,0.3,0.9714,0,0.6625,0,0.6667,0.6458,0.8351,0.6458,-0.2,-0.0286
Cream,Charm,24 Hours,0.4,0.9429,0.2917,0.7083,0.7778,0.6667,0.7083,0.8409,0.6583,0.7236,0.2286
Cream,Charm,24 Hours,0.5,0.6571,0.6771,0.6979,0.5381,0.6667,0.7083,0.8274,0.5417,0.3157,0.3357
Cream,Charm,24 Hours,0.6,0.6571,0.6771,0.6979,0.5381,0.6667,0.7083,0.8274,0.5417,0.3157,0.3357
Cream,Charm,24 Hours,0.7,0.2857,0.8542,0.7,0.4375,0.6667,0.5,0.6071,0.2458,0.25,0.1429
Cream,Charm,24 Hours,0.8,0.2,0.875,0.8333,0.4208,0.6667,0.4583,0.5397,0.1952,0.1892,0.0571
Cream,Charm,24 Hours,0.9,0.2,1,1,0.4458,0.6667,0.4792,0.5556,0.2,0.4667,0.2
Cream,Charm,24 Hours,1,0.1714,1,1,0.4417,0.6667,0.4583,0.6667,0.1714,0.6,0.1714
Cream,Charm,24 Hours,1.1,0.1429,1,1,0.3792,0.6667,0.4375,0.6111,0.1429,0.4162,0.1429
Cream,Charm,24 Hours,1.2,0.1143,1,1,0.3583,0.6667,0.4167,0.5417,0.1143,0.3236,0.1143
Cream,Charm,24 Hours,1.3,0.1143,1,1,0.3583,0.6667,0.4167,0.5417,0.1143,0.3236,0.1143
Cream,Charm,24 Hours,1.4,0.0857,1,1,0.3479,0.6667,0.3958,0.4524,0.0857,0.2581,0.0857
Cream,Charm,24 Hours,1.5,0.0857,1,1,0.3479,0.6667,0.3958,0.4524,0.0857,0.2581,0.0857
Cream,Charm,24 Hours,1.6,0.0857,1,1,0.3479,0.6667,0.3958,0.4524,0.0857,0.2581,0.0857
Cream,Charm,24 Hours,1.7,0.0571,1,1,0.3417,0.6667,0.375,0.3333,0.0571,0.2,0.0571
Cream,Charm,24 Hours,1.8,0.0571,1,1,0.3417,0.6667,0.375,0.3333,0.0571,0.2,0.0571
Cream,Charm,24 Hours,1.9,0.0571,1,1,0.3417,0.6667,0.375,0.3333,0.0571,0.2,0.0571
Cream,Charm,24 Hours,2,0.0286,1,1,0.3375,0.6667,0.3542,0.3333,0.0286,0.2,0.0286
Cream,Charm,24 Hours,2.1,0.0286,1,1,0.3375,0.6667,0.3542,0.3333,0.0286,0.2,0.0286
Cream,Charm,24 Hours,2.2,0.0286,1,1,0.3375,0.6667,0.3542,0.3333,0.0286,0.2,0.0286
Cream,Charm,24 Hours,2.3,0.0286,1,1,0.3375,0.6667,0.3542,0.3333,0.0286,0.2,0.0286
Cream,Charm,24 Hours,2.4,0,1,NA,0.3333,0.6667,0.3333,NA,0,NA,0
Cream,Charm,24 Hours,2.5,0,1,NA,0.3333,0.6667,0.3333,NA,0,NA,0
Cream,Charm,24 Hours,2.6,0,1,NA,0.3333,0.6667,0.3333,NA,0,NA,0
