Product,Test,Threshold_log10,Isolate,Spike_level,N,X_test,POD_test,CI_test_lo,CI_test_hi,X_ref,POD_ref,CI_ref_lo,CI_ref_hi,dPOD,dPOD_lo,dPOD_hi,sig
Cream,AttuneDilut_adj,4.2,Geobacillus,>10,5,2,0.4,0.05,0.85,5,1,0.48,1,-0.6,-0.95,0.09,FALSE
Cream,AttuneDilut_adj,4.2,Geobacillus,0-10,15,14,0.93,0.68,1,10,0.67,0.38,0.88,0.27,-0.03,0.52,FALSE
Cream,AttuneDilut_adj,4.2,Geobacillus,=0,4,3,0.75,0.19,0.99,0,0,0,0.6,0.75,-0.07,0.99,FALSE
Cream,AttuneDilut_adj,4.2,Anoxybacillus,0-10,20,18,0.9,0.68,0.99,17,0.85,0.62,0.97,0.05,-0.17,0.27,FALSE
Cream,AttuneDilut_adj,4.2,Anoxybacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
