Product,Test,Threshold_log10,Isolate,Spike_level,N,X_test,POD_test,CI_test_lo,CI_test_hi,X_ref,POD_ref,CI_ref_lo,CI_ref_hi,dPOD,dPOD_lo,dPOD_hi,sig
Chocolate,Charm_adj,2.1760912590556813,Geobacillus,>10,5,5,1,0.48,1,5,1,0.48,1,0,-0.52,0.52,FALSE
Chocolate,Charm_adj,2.1760912590556813,Geobacillus,0-10,15,15,1,0.78,1,15,1,0.78,1,0,-0.2,0.2,FALSE
Chocolate,Charm_adj,2.1760912590556813,Geobacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
Chocolate,Charm_adj,2.1760912590556813,Anoxybacillus,>10,10,10,1,0.69,1,10,1,0.69,1,0,-0.28,0.28,FALSE
Chocolate,Charm_adj,2.1760912590556813,Anoxybacillus,0-10,20,12,0.6,0.36,0.81,20,1,0.83,1,-0.4,-0.61,-0.16,TRUE
Chocolate,Charm_adj,2.1760912590556813,Anoxybacillus,=0,6,0,0,0,0.46,0,0,0,0.46,0,-0.39,0.39,FALSE
Chocolate,Charm_adj,2.1760912590556813,B. licheniformis,0-10,10,10,1,0.69,1,10,1,0.69,1,0,-0.28,0.28,FALSE
Chocolate,Charm_adj,2.1760912590556813,B. licheniformis,=0,2,0,0,0,0.84,0,0,0,0.84,0,-0.84,0.84,FALSE
