Product,Test,Threshold_log10,Isolate,Spike_level,N,X_test,POD_test,CI_test_lo,CI_test_hi,X_ref,POD_ref,CI_ref_lo,CI_ref_hi,dPOD,dPOD_lo,dPOD_hi,sig
Med Beverage,AttuneDilut_adj,4,Geobacillus,>10,5,5,1,0.48,1,5,1,0.48,1,0,-0.52,0.52,FALSE
Med Beverage,AttuneDilut_adj,4,Geobacillus,0-10,15,14,0.93,0.68,1,14,0.93,0.68,1,0,-0.24,0.24,FALSE
Med Beverage,AttuneDilut_adj,4,Geobacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
Med Beverage,AttuneDilut_adj,4,Anoxybacillus,0-10,20,6,0.3,0.12,0.54,20,1,0.83,1,-0.7,-0.85,-0.43,TRUE
Med Beverage,AttuneDilut_adj,4,Anoxybacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
