Product,Test,Threshold_log10,Isolate,Spike_level,N,X_test,POD_test,CI_test_lo,CI_test_hi,X_ref,POD_ref,CI_ref_lo,CI_ref_hi,dPOD,dPOD_lo,dPOD_hi,sig
Whipping Cream,AttuneDilut_adj,3,Geobacillus,>10,5,5,1,0.48,1,5,1,0.48,1,0,-0.52,0.52,FALSE
Whipping Cream,AttuneDilut_adj,3,Geobacillus,0-10,15,11,0.73,0.45,0.92,11,0.73,0.45,0.92,0,-0.3,0.3,FALSE
Whipping Cream,AttuneDilut_adj,3,Geobacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
Whipping Cream,AttuneDilut_adj,3,Anoxybacillus,0-10,20,20,1,0.83,1,20,1,0.83,1,0,-0.16,0.16,FALSE
Whipping Cream,AttuneDilut_adj,3,Anoxybacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
